iter	F1	Logloss
0	0.8221328488	0.6549179625
1	0.7984723799	0.6227296012
2	0.8355203262	0.5824268166
3	0.8434631634	0.5606774222
4	0.8782795195	0.5262503007
5	0.8777127303	0.502521963
6	0.8789889146	0.4875940365
7	0.8871647234	0.4775757294
8	0.894502342	0.4641991576
9	0.8928531406	0.4521042735
10	0.8968545425	0.4437146837
11	0.8939853112	0.4372591859
12	0.891540542	0.4283121234
13	0.8926711506	0.4175852785
14	0.8907285876	0.4086451772
15	0.8887051574	0.3991127256
16	0.8956226198	0.3863341147
17	0.9026843195	0.380366308
18	0.9061555889	0.3760810511
19	0.9061555889	0.369765526
20	0.9041206767	0.3649321777
21	0.9029041104	0.3636491031
22	0.9014600791	0.3587976886
23	0.9035023287	0.3518124203
24	0.9043218219	0.34712441
25	0.9018677901	0.3449482278
26	0.9072017922	0.3389049801
27	0.9059652762	0.3333461973
28	0.9055538528	0.3310148438
29	0.9114894817	0.324563036
30	0.9092701702	0.3174597006
31	0.913972515	0.3141358582
32	0.9143876697	0.3117516952
33	0.9143876697	0.3088831267
34	0.9152191116	0.3064599796
35	0.9143876697	0.3048312311
36	0.9168865399	0.3015656996
37	0.9177225345	0.2999514621
38	0.9181411038	0.2974686571
39	0.9181411038	0.2957039794
40	0.9193991056	0.2938641495
41	0.9189793888	0.2921562201
42	0.9177225345	0.291144043
43	0.9177225345	0.2900350471
44	0.9134353506	0.2867871536
45	0.9121817952	0.2858246191
46	0.9189793888	0.2839008887
47	0.9198192059	0.2823122346
48	0.916373755	0.2803671165
49	0.915952826	0.2789314051
50	0.916373755	0.2774632799
51	0.9215034535	0.2752822651
52	0.9240414215	0.2735809789
53	0.9240414215	0.2728998958
54	0.9240414215	0.2717237461
55	0.9240414215	0.2705933848
56	0.9253156552	0.2685343156
57	0.9253156552	0.2678128089
58	0.924465776	0.2667119724
59	0.9295605172	0.2657020588
60	0.9291354816	0.2651879539
61	0.9299859418	0.2637237435
62	0.9304117561	0.2630695289
63	0.9299859418	0.2605608921
64	0.9299859418	0.2590593895
65	0.9308379604	0.2582932222
66	0.9308379604	0.256431769
67	0.9308379604	0.2557926821
68	0.9308379604	0.2550443992
69	0.9316915415	0.2540918139
70	0.9304117561	0.2531191508
71	0.9308379604	0.252288558
72	0.9325466896	0.2487642165
73	0.9325466896	0.2480353544
74	0.9338323591	0.2469558856
75	0.9338323591	0.2466556458
76	0.9334034089	0.2456285664
