iter	Passed	Remaining
0	1	684
1	2	701
2	4	709
3	5	736
4	7	725
5	8	710
6	9	694
7	11	698
8	12	694
9	14	688
10	15	678
11	16	667
12	17	667
13	19	674
14	20	667
15	22	669
16	24	686
17	25	686
18	26	678
19	28	683
20	29	682
21	30	669
22	32	680
23	33	674
24	35	667
25	36	665
26	37	664
27	39	663
28	41	671
29	42	670
30	44	672
31	45	669
32	47	666
33	48	665
34	50	664
35	51	661
36	53	673
37	55	669
38	56	666
39	57	661
40	58	656
41	59	653
42	61	649
43	62	645
44	63	643
45	64	640
46	66	636
47	67	636
48	68	634
49	70	632
50	71	629
51	72	628
52	74	627
53	75	625
54	77	623
55	78	622
56	80	625
57	82	625
58	83	624
59	85	624
60	86	624
61	88	622
62	89	624
63	91	621
64	92	620
65	94	619
66	95	617
67	96	615
68	98	613
69	99	611
70	100	609
71	102	606
72	103	603
73	104	600
74	105	600
75	107	597
76	108	596
