보증금,월세,전용면적,해당층,총층,방수,욕실수,총주차대수,관리비,결측치개수,전용면적_가격_비율,매물_등록_경과일,매물확인방식_전화확인,매물확인방식_현장확인,방향_남서향,방향_남향,방향_동향,방향_북동향,방향_북서향,방향_북향,방향_서향,주차가능여부_불가능,계절_겨울,계절_봄,계절_여름,매물_HC_2,매물_HC_3,매물_HC_4,매물_HC_5,매물_HC_6,지역_KMedoids_1,지역_KMedoids_2,지역_KMedoids_3,지역_KMedoids_4,지역_KMedoids_5,지역_KMedoids_6,지역_KMedoids_7,지역_KMedoids_8,지역_KMedoids_9,지역_KMedoids_10
16350.0,3.0,36.3,3.0,9.0,2.0,1.0,13.0,10,0,2.190377503138137e-05,97,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
15300.0,53.0,29.5,4.0,3.0,2.0,1.0,1.0,0,1,0.0001174255012739559,172,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
12050.0,44.0,31.55,1.0,2.0,2.0,2.0,18.0,3,0,0.0001236264639543371,284,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
7950.0,26.0,39.66,2.0,3.0,2.0,1.0,2.0,0,0,8.246193271740614e-05,93,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
18750.0,39.0,23.69,1.0,15.0,1.0,1.0,15.0,5,0,9.905726748276346e-05,443,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
9150.0,75.0,31.32,9.0,15.0,2.0,2.0,44.0,8,0,0.00028962446524157475,343,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
34850.0,18.0,23.14,2.0,5.0,1.0,1.0,17.0,0,1,2.2320625870349406e-05,231,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2700.0,32.0,36.57,14.0,18.0,1.0,1.0,46.0,3,0,0.00035446986499761997,13,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
850.0,59.0,30.56,2.0,9.0,1.0,1.0,45.0,0,0,0.002271327379119187,502,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1500.0,1.0,22.05,1.0,8.0,1.0,1.0,27.0,1,0,6.046863189720332e-05,484,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1250.0,5.0,29.88,4.0,10.0,2.0,1.0,34.0,14,1,0.0005087014725568943,125,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
37550.0,35.0,19.07,2.0,5.0,1.0,1.0,17.0,8,1,6.004928230633932e-05,218,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2450.0,74.0,29.5,7.0,8.0,1.0,1.0,1.0,4,0,0.0010792113455551711,295,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
18600.0,45.0,24.49,4.0,14.0,2.0,2.0,16.0,4,0,0.00010757078816457893,131,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
10750.0,24.0,27.16,9.0,10.0,2.0,1.0,10.0,4,0,9.590026372572525e-05,139,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
36100.0,35.0,17.5,6.0,6.0,1.0,1.0,8.0,8,0,6.806489908982984e-05,105,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
35450.0,75.0,19.83,4.0,5.0,1.0,1.0,17.0,0,2,0.00010668965473093938,60,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
40200.0,64.0,37.85,5.0,6.0,2.0,2.0,48.0,3,0,4.403346543372963e-05,323,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
10200.0,40.0,29.48,6.0,8.0,2.0,2.0,43.0,6,0,0.00015297842339106606,481,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
19500.0,56.0,39.66,3.0,6.0,2.0,1.0,5.0,0,0,7.241035985362764e-05,154,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
16000.0,8.0,36.3,2.0,4.0,2.0,1.0,1.0,0,0,1.3774104683195594e-05,42,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
34200.0,61.0,41.42,8.0,21.0,1.0,1.0,38.0,7,0,4.80034788403489e-05,212,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
12950.0,43.0,36.6,2.0,5.0,2.0,1.0,3.0,18,0,0.00012870012870012872,167,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
17100.0,48.0,34.48,2.0,3.0,2.0,1.0,17.0,7,1,9.328231638648052e-05,395,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
36100.0,44.0,17.5,3.0,9.0,1.0,1.0,43.0,7,0,8.072813612979818e-05,463,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
32400.0,66.0,20.26,11.0,14.0,1.0,1.0,21.0,2,0,0.00010359158105127173,69,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
12700.0,46.0,36.54,2.0,3.0,2.0,1.0,17.0,0,1,9.912554034194003e-05,72,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2000.0,17.0,26.19,4.0,5.0,1.0,1.0,17.0,3,1,0.0003818251240931653,98,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
8650.0,4.0,38.1,5.0,9.0,1.0,1.0,20.0,10,0,4.248023910306009e-05,271,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2050.0,50.0,17.5,5.0,11.0,1.0,1.0,17.0,14,1,0.00178397212543554,71,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
