매물확인방식,보증금,월세,전용면적,해당층,총층,방향,방수,욕실수,주차가능여부,총주차대수,관리비,허위매물여부,매물_HC,매물_DBSCAN,월세+관리비,전용면적_가격_비율,지역_KMedoids,지역_HDBSCAN,계절,매물_등록_경과일
현장확인,16350.0,3.0,36.3,3.0,9.0,남동향,2.0,1.0,가능,13.0,10,0,6,0,13.0,2.190377503138137e-05,4,8,가을,97
전화확인,15300.0,53.0,29.5,4.0,3.0,남향,2.0,1.0,가능,1.0,0,0,6,0,53.0,0.0001174255012739559,4,8,가을,172
현장확인,12050.0,44.0,31.55,1.0,2.0,북향,2.0,2.0,가능,18.0,3,0,4,1,47.0,0.0001236264639543371,1,2,봄,284
현장확인,7950.0,26.0,39.66,2.0,3.0,남동향,2.0,1.0,불가능,2.0,0,0,5,0,26.0,8.246193271740614e-05,4,3,가을,93
현장확인,18750.0,39.0,23.69,1.0,15.0,남향,1.0,1.0,불가능,15.0,5,0,3,2,44.0,9.905726748276346e-05,2,5,겨울,443
서류확인,9150.0,75.0,31.32,9.0,15.0,북동향,2.0,2.0,가능,44.0,8,0,4,1,83.0,0.00028962446524157475,0,2,봄,343
전화확인,34850.0,18.0,23.14,2.0,5.0,동향,1.0,1.0,불가능,17.0,0,1,3,2,18.0,2.2320625870349406e-05,10,5,여름,231
현장확인,2700.0,32.0,36.57,14.0,18.0,남향,1.0,1.0,불가능,46.0,3,0,1,2,35.0,0.00035446986499761997,3,10,겨울,13
현장확인,850.0,59.0,30.56,2.0,9.0,서향,1.0,1.0,불가능,45.0,0,0,1,2,59.0,0.002271327379119187,9,6,가을,502
현장확인,1500.0,1.0,22.05,1.0,8.0,남향,1.0,1.0,가능,27.0,1,0,3,2,2.0,6.046863189720332e-05,2,5,가을,484
전화확인,1250.0,5.0,29.88,4.0,10.0,남서향,2.0,1.0,가능,34.0,14,0,6,0,19.0,0.0005087014725568943,6,7,가을,125
전화확인,37550.0,35.0,19.07,2.0,5.0,서향,1.0,1.0,불가능,17.0,8,0,2,2,43.0,6.004928230633932e-05,5,6,여름,218
현장확인,2450.0,74.0,29.5,7.0,8.0,남서향,1.0,1.0,가능,1.0,4,1,1,2,78.0,0.0010792113455551711,7,6,봄,295
현장확인,18600.0,45.0,24.49,4.0,14.0,남향,2.0,2.0,가능,16.0,4,0,4,3,49.0,0.00010757078816457893,2,1,가을,131
서류확인,10750.0,24.0,27.16,9.0,10.0,북서향,2.0,1.0,가능,10.0,4,0,6,0,28.0,9.590026372572525e-05,4,8,가을,139
현장확인,36100.0,35.0,17.5,6.0,6.0,남서향,1.0,1.0,가능,8.0,8,0,2,2,43.0,6.806489908982984e-05,5,6,가을,105
현장확인,35450.0,75.0,19.83,4.0,5.0,남향,1.0,1.0,불가능,17.0,0,0,2,2,75.0,0.00010668965473093938,5,6,겨울,60
현장확인,40200.0,64.0,37.85,5.0,6.0,남향,2.0,2.0,불가능,48.0,3,0,4,4,67.0,4.403346543372963e-05,10,0,봄,323
현장확인,10200.0,40.0,29.48,6.0,8.0,북서향,2.0,2.0,불가능,43.0,6,0,4,1,46.0,0.00015297842339106606,1,2,가을,481
현장확인,19500.0,56.0,39.66,3.0,6.0,남향,2.0,1.0,가능,5.0,0,0,5,0,56.0,7.241035985362764e-05,4,3,가을,154
전화확인,16000.0,8.0,36.3,2.0,4.0,동향,2.0,1.0,불가능,1.0,0,0,6,0,8.0,1.3774104683195594e-05,4,8,겨울,42
현장확인,34200.0,61.0,41.42,8.0,21.0,남향,1.0,1.0,불가능,38.0,7,0,1,2,68.0,4.80034788403489e-05,5,10,여름,212
전화확인,12950.0,43.0,36.6,2.0,5.0,남향,2.0,1.0,가능,3.0,18,0,6,0,61.0,0.00012870012870012872,4,8,가을,167
현장확인,17100.0,48.0,34.48,2.0,3.0,북향,2.0,1.0,불가능,17.0,7,0,6,0,55.0,9.328231638648052e-05,4,8,겨울,395
현장확인,36100.0,44.0,17.5,3.0,9.0,동향,1.0,1.0,가능,43.0,7,0,2,2,51.0,8.072813612979818e-05,5,6,가을,463
현장확인,32400.0,66.0,20.26,11.0,14.0,동향,1.0,1.0,가능,21.0,2,0,2,2,68.0,0.00010359158105127173,5,6,겨울,69
서류확인,12700.0,46.0,36.54,2.0,3.0,남향,2.0,1.0,불가능,17.0,0,0,6,0,46.0,9.912554034194003e-05,4,8,겨울,72
현장확인,2000.0,17.0,26.19,4.0,5.0,북향,1.0,1.0,불가능,17.0,3,0,3,2,20.0,0.0003818251240931653,0,5,가을,98
현장확인,8650.0,4.0,38.1,5.0,9.0,서향,1.0,1.0,가능,20.0,10,0,1,2,14.0,4.248023910306009e-05,5,10,여름,271
현장확인,2050.0,50.0,17.5,5.0,11.0,북향,1.0,1.0,가능,17.0,14,0,2,2,64.0,0.00178397212543554,7,6,겨울,71
현장확인,15600.0,55.0,26.25,3.0,7.0,남동향,1.0,1.0,가능,5.0,0,1,3,2,55.0,0.0001343101343101343,1,5,겨울,381
전화확인,650.0,29.0,40.89,6.0,6.0,동향,1.0,1.0,가능,11.0,5,0,1,2,34.0,0.001279229452376921,7,5,겨울,85
현장확인,17850.0,24.0,22.55,2.0,3.0,동향,1.0,1.0,가능,1.0,0,0,3,2,24.0,5.962473681268516e-05,2,5,여름,222
전화확인,13100.0,11.0,18.59,4.0,7.0,북향,1.0,1.0,가능,2.0,0,0,2,2,11.0,4.516915849857717e-05,5,6,겨울,62
현장확인,10600.0,6.0,20.89,18.0,18.0,북동향,1.0,1.0,가능,1.0,14,0,3,2,20.0,9.032036633940588e-05,2,5,봄,358
현장확인,15350.0,13.0,26.66,7.0,8.0,남동향,2.0,2.0,불가능,3.0,7,0,4,3,20.0,4.887215289164311e-05,10,1,가을,533
전화확인,17200.0,58.0,27.16,2.0,5.0,북향,1.0,1.0,불가능,31.0,4,0,3,2,62.0,0.00013271911497756618,1,5,봄,1
서류확인,8800.0,15.0,24.69,11.0,14.0,동향,1.0,1.0,가능,21.0,0,0,3,2,15.0,6.903788799293051e-05,2,5,겨울,29
현장확인,16050.0,59.0,17.5,2.0,3.0,동향,2.0,1.0,불가능,44.0,0,0,6,0,59.0,0.000210057854917668,4,8,봄,323
현장확인,8250.0,47.0,17.5,4.0,11.0,북서향,1.0,1.0,가능,21.0,5,0,2,2,52.0,0.0003601731601731602,3,6,가을,143
현장확인,40500.0,31.0,37.98,4.0,18.0,동향,1.0,1.0,불가능,38.0,0,0,1,2,31.0,2.015355710282865e-05,5,10,봄,314
현장확인,10800.0,48.0,32.84,3.0,10.0,북동향,2.0,1.0,가능,30.0,0,0,6,0,48.0,0.00013533631073216944,4,8,여름,243
현장확인,17750.0,26.0,31.32,4.0,5.0,북동향,1.0,1.0,가능,1.0,0,0,1,2,26.0,4.676847804579713e-05,5,10,겨울,456
현장확인,18650.0,74.0,28.67,4.0,7.0,동향,1.0,1.0,불가능,1.0,0,0,1,2,74.0,0.00013839652662122647,5,10,봄,339
서류확인,32150.0,23.0,26.44,2.0,3.0,남향,2.0,1.0,불가능,17.0,2,0,6,0,25.0,2.9410173096514774e-05,4,8,가을,112
현장확인,1050.0,21.0,17.5,3.0,10.0,남향,1.0,1.0,가능,4.0,17,0,2,2,38.0,0.002068027210884354,7,6,가을,119
현장확인,14700.0,30.0,19.8,3.0,4.0,북동향,1.0,1.0,가능,2.0,8,0,2,2,38.0,0.00013055727341441627,5,6,겨울,83
서류확인,2500.0,17.0,36.36,3.0,6.0,동향,2.0,1.0,가능,4.0,7,0,6,0,24.0,0.000264026402640264,4,8,가을,139
현장확인,500.0,55.0,25.43,6.0,7.0,남향,1.0,1.0,가능,18.0,0,0,3,2,55.0,0.004325599685410932,9,6,봄,345
서류확인,19300.0,51.0,30.68,6.0,10.0,남향,1.0,1.0,가능,12.0,4,0,1,2,55.0,9.288594956461822e-05,5,10,봄,312
현장확인,7800.0,57.0,19.09,3.0,3.0,남향,1.0,1.0,불가능,13.0,5,0,2,2,62.0,0.000416381244039704,3,6,여름,252
현장확인,7000.0,53.0,17.5,4.0,9.0,남서향,1.0,1.0,불가능,8.0,7,0,2,2,60.0,0.0004897959183673469,3,6,겨울,59
현장확인,11600.0,41.0,17.5,12.0,13.0,남향,1.0,1.0,불가능,17.0,8,0,2,2,49.0,0.00024137931034482756,3,6,가을,94
현장확인,6950.0,68.0,17.5,2.0,6.0,서향,1.0,1.0,가능,5.0,0,0,2,2,68.0,0.0005590955806783145,3,6,겨울,88
현장확인,9050.0,26.0,17.5,11.0,18.0,남향,2.0,2.0,가능,14.0,0,0,4,3,26.0,0.00016416732438831886,1,1,겨울,33
현장확인,8900.0,39.0,29.92,4.0,7.0,북서향,2.0,1.0,가능,17.0,11,0,6,0,50.0,0.00018776662861262993,4,8,가을,128
현장확인,3300.0,37.0,40.89,4.0,6.0,남동향,1.0,1.0,가능,11.0,3,0,1,2,40.0,0.00029643463245811007,3,10,가을,153
현장확인,39200.0,15.0,17.5,12.0,14.0,동향,1.0,1.0,가능,104.0,10,0,2,2,25.0,3.644314868804665e-05,5,6,가을,124
서류확인,8050.0,43.0,17.5,12.0,14.0,서향,1.0,1.0,가능,104.0,7,0,2,2,50.0,0.00035492457852706296,3,6,가을,146
현장확인,9400.0,72.0,21.16,9.0,15.0,동향,1.0,1.0,불가능,17.0,3,0,3,2,75.0,0.00037706632345251977,0,5,겨울,78
현장확인,34600.0,64.0,30.55,3.0,6.0,남향,2.0,2.0,가능,44.0,1,0,4,1,65.0,6.149305128520476e-05,2,2,겨울,62
현장확인,13150.0,24.0,35.24,5.0,7.0,남동향,1.0,1.0,불가능,30.0,0,0,1,2,24.0,5.179043862185642e-05,5,10,가을,507
현장확인,3250.0,31.0,34.45,7.0,10.0,남동향,1.0,1.0,불가능,50.0,9,0,1,2,40.0,0.00035726247627553866,3,10,가을,182
현장확인,15650.0,48.0,17.57,1.0,3.0,남동향,2.0,2.0,불가능,41.0,14,0,4,3,62.0,0.00022547873317319496,1,1,여름,213
현장확인,12650.0,3.0,31.13,6.0,8.0,동향,1.0,1.0,가능,16.0,5,0,1,2,8.0,2.031516438142229e-05,5,10,겨울,414
