ID,매물확인방식,보증금,월세,전용면적,해당층,총층,방향,방수,욕실수,주차가능여부,총주차대수,관리비,중개사무소,제공플랫폼,게재일,허위매물여부,매물_HC,매물_DBSCAN,월세+관리비,보증금_월세관리비_비율,전용면적_가격_비율,지역_KMedoids,지역_HDBSCAN,계절,매물_등록_경과일
TRAIN_0003,현장확인,16350.0,3.0,36.3,3.0,9.0,남동향,2.0,1.0,가능,13.0,10,G52Iz8V2B9,A플랫폼,2024-11-26,0,6,0,13.0,0.0007951070336391437,2.190377503138137e-05,4,8,가을,97
TRAIN_0005,전화확인,15300.0,53.0,29.5,4.0,3.0,남향,2.0,1.0,가능,1.0,0,Q42YF3Y0I2,A플랫폼,2024-09-12,0,6,0,53.0,0.0034640522875816994,0.0001174255012739559,4,8,가을,172
TRAIN_0008,현장확인,12050.0,44.0,31.55,1.0,2.0,북향,2.0,2.0,가능,18.0,3,G52Iz8V2B9,B플랫폼,2024-05-23,0,4,1,47.0,0.003900414937759336,0.0001236264639543371,1,2,봄,284
TRAIN_0009,현장확인,7950.0,26.0,39.66,2.0,3.0,남동향,2.0,1.0,불가능,2.0,0,M90Ph8W9V3,B플랫폼,2024-11-30,0,5,0,26.0,0.003270440251572327,8.246193271740614e-05,4,3,가을,93
TRAIN_0010,현장확인,18750.0,39.0,23.69,1.0,15.0,남향,1.0,1.0,불가능,15.0,5,G52Iz8V2B9,A플랫폼,2023-12-16,0,3,2,44.0,0.0023466666666666666,9.905726748276346e-05,2,5,겨울,443
TRAIN_0011,서류확인,9150.0,75.0,31.32,9.0,15.0,북동향,2.0,2.0,가능,44.0,8,G52Iz8V2B9,B플랫폼,2024-03-25,0,4,1,83.0,0.00907103825136612,0.00028962446524157475,0,2,봄,343
TRAIN_0012,전화확인,34850.0,18.0,23.14,2.0,5.0,동향,1.0,1.0,불가능,17.0,0,J30yG7F1O0,C플랫폼,2024-07-15,1,3,2,18.0,0.0005164992826398853,2.2320625870349406e-05,10,5,여름,231
TRAIN_0013,현장확인,2700.0,32.0,36.57,14.0,18.0,남향,1.0,1.0,불가능,46.0,3,G52Iz8V2B9,A플랫폼,2025-02-18,0,1,2,35.0,0.012962962962962963,0.00035446986499761997,3,10,겨울,13
TRAIN_0015,현장확인,850.0,59.0,30.56,2.0,9.0,서향,1.0,1.0,불가능,45.0,0,G52Iz8V2B9,C플랫폼,2023-10-18,0,1,2,59.0,0.06941176470588235,0.002271327379119187,9,6,가을,502
TRAIN_0016,현장확인,1500.0,1.0,22.05,1.0,8.0,남향,1.0,1.0,가능,27.0,1,G52Iz8V2B9,C플랫폼,2023-11-05,0,3,2,2.0,0.0013333333333333333,6.046863189720332e-05,2,5,가을,484
TRAIN_0020,전화확인,1250.0,5.0,29.88,4.0,10.0,남서향,2.0,1.0,가능,34.0,14,r82ax9M3U3,B플랫폼,2024-10-29,0,6,0,19.0,0.0152,0.0005087014725568943,6,7,가을,125
TRAIN_0021,전화확인,37550.0,35.0,19.07,2.0,5.0,서향,1.0,1.0,불가능,17.0,8,a15xR3G4V0,A플랫폼,2024-07-28,0,2,2,43.0,0.0011451398135818908,6.004928230633932e-05,5,6,여름,218
TRAIN_0022,현장확인,2450.0,74.0,29.5,7.0,8.0,남서향,1.0,1.0,가능,1.0,4,W88DA3W2Q3,A플랫폼,2024-05-12,1,1,2,78.0,0.03183673469387755,0.0010792113455551711,7,6,봄,295
TRAIN_0023,현장확인,18600.0,45.0,24.49,4.0,14.0,남향,2.0,2.0,가능,16.0,4,G52Iz8V2B9,G플랫폼,2024-10-23,0,4,3,49.0,0.0026344086021505377,0.00010757078816457893,2,1,가을,131
TRAIN_0024,서류확인,10750.0,24.0,27.16,9.0,10.0,북서향,2.0,1.0,가능,10.0,4,S69fV9Z3J7,C플랫폼,2024-10-15,0,6,0,28.0,0.0026046511627906975,9.590026372572525e-05,4,8,가을,139
TRAIN_0026,현장확인,36100.0,35.0,17.5,6.0,6.0,남서향,1.0,1.0,가능,8.0,8,K86UF7I0P3,C플랫폼,2024-11-18,0,2,2,43.0,0.0011911357340720222,6.806489908982984e-05,5,6,가을,105
TRAIN_0028,현장확인,35450.0,75.0,19.83,4.0,5.0,남향,1.0,1.0,불가능,17.0,0,Q42YF3Y0I2,A플랫폼,2025-01-02,0,2,2,75.0,0.0021156558533145277,0.00010668965473093938,5,6,겨울,60
TRAIN_0029,현장확인,40200.0,64.0,37.85,5.0,6.0,남향,2.0,2.0,불가능,48.0,3,G52Iz8V2B9,A플랫폼,2024-04-14,0,4,4,67.0,0.0016666666666666668,4.403346543372963e-05,10,0,봄,323
TRAIN_0030,현장확인,10200.0,40.0,29.48,6.0,8.0,북서향,2.0,2.0,불가능,43.0,6,G52Iz8V2B9,B플랫폼,2023-11-08,0,4,1,46.0,0.0045098039215686276,0.00015297842339106606,1,2,가을,481
TRAIN_0032,현장확인,19500.0,56.0,39.66,3.0,6.0,남향,2.0,1.0,가능,5.0,0,l47ci2X2G0,A플랫폼,2024-09-30,0,5,0,56.0,0.002871794871794872,7.241035985362764e-05,4,3,가을,154
TRAIN_0033,전화확인,16000.0,8.0,36.3,2.0,4.0,동향,2.0,1.0,불가능,1.0,0,A72Mx9C8U2,A플랫폼,2025-01-20,0,6,0,8.0,0.0005,1.3774104683195594e-05,4,8,겨울,42
TRAIN_0034,현장확인,34200.0,61.0,41.42,8.0,21.0,남향,1.0,1.0,불가능,38.0,7,G52Iz8V2B9,B플랫폼,2024-08-03,0,1,2,68.0,0.0019883040935672514,4.80034788403489e-05,5,10,여름,212
TRAIN_0035,전화확인,12950.0,43.0,36.6,2.0,5.0,남향,2.0,1.0,가능,3.0,18,S30er7F3P4,E플랫폼,2024-09-17,0,6,0,61.0,0.004710424710424711,0.00012870012870012872,4,8,가을,167
TRAIN_0039,현장확인,17100.0,48.0,34.48,2.0,3.0,북향,2.0,1.0,불가능,17.0,7,S12iP7V0Q9,A플랫폼,2024-02-02,0,6,0,55.0,0.003216374269005848,9.328231638648052e-05,4,8,겨울,395
TRAIN_0040,현장확인,36100.0,44.0,17.5,3.0,9.0,동향,1.0,1.0,가능,43.0,7,G52Iz8V2B9,C플랫폼,2023-11-26,0,2,2,51.0,0.0014127423822714682,8.072813612979818e-05,5,6,가을,463
TRAIN_0041,현장확인,32400.0,66.0,20.26,11.0,14.0,동향,1.0,1.0,가능,21.0,2,G52Iz8V2B9,A플랫폼,2024-12-24,0,2,2,68.0,0.0020987654320987655,0.00010359158105127173,5,6,겨울,69
TRAIN_0042,서류확인,12700.0,46.0,36.54,2.0,3.0,남향,2.0,1.0,불가능,17.0,0,S14na8Q8K2,A플랫폼,2024-12-21,0,6,0,46.0,0.0036220472440944883,9.912554034194003e-05,4,8,겨울,72
TRAIN_0044,현장확인,2000.0,17.0,26.19,4.0,5.0,북향,1.0,1.0,불가능,17.0,3,W88DA3W2Q3,D플랫폼,2024-11-25,0,3,2,20.0,0.01,0.0003818251240931653,0,5,가을,98
TRAIN_0045,현장확인,8650.0,4.0,38.1,5.0,9.0,서향,1.0,1.0,가능,20.0,10,G52Iz8V2B9,A플랫폼,2024-06-05,0,1,2,14.0,0.0016184971098265897,4.248023910306009e-05,5,10,여름,271
TRAIN_0046,현장확인,2050.0,50.0,17.5,5.0,11.0,북향,1.0,1.0,가능,17.0,14,C41wx1K6U9,B플랫폼,2024-12-22,0,2,2,64.0,0.03121951219512195,0.00178397212543554,7,6,겨울,71
TRAIN_0048,현장확인,15600.0,55.0,26.25,3.0,7.0,남동향,1.0,1.0,가능,5.0,0,S12iP7V0Q9,A플랫폼,2024-02-16,1,3,2,55.0,0.0035256410256410257,0.0001343101343101343,1,5,겨울,381
TRAIN_0049,전화확인,650.0,29.0,40.89,6.0,6.0,동향,1.0,1.0,가능,11.0,5,r16Dr6Z7C3,G플랫폼,2024-12-08,0,1,2,34.0,0.052307692307692305,0.001279229452376921,7,5,겨울,85
TRAIN_0050,현장확인,17850.0,24.0,22.55,2.0,3.0,동향,1.0,1.0,가능,1.0,0,E29LO2X8S7,E플랫폼,2024-07-24,0,3,2,24.0,0.0013445378151260505,5.962473681268516e-05,2,5,여름,222
TRAIN_0051,전화확인,13100.0,11.0,18.59,4.0,7.0,북향,1.0,1.0,가능,2.0,0,J07Zn4B0R7,C플랫폼,2024-12-31,0,2,2,11.0,0.0008396946564885496,4.516915849857717e-05,5,6,겨울,62
